id,Name,titleProject_id,class,score,login,password
75,Магнусов Пётр Максимович,437,7и,5,Магнусов_ПМ,HKgDEMMy
76,Лавренков Михаил Василиевич,188,9б,2,Лавренков_МВ,E9f9lxe3
77,Шушкалова Вероника Алексеевна,411,8т,5,Шушкалова_ВА,OMmPRFEC
78,Бороданова Маргарита Дмитриевна,118,7г,5,Бороданова_МД,cB2iaB3T
79,Циркина Виолетта Федоровна,231,9г,2,Циркина_ВФ,QCc2vVMP
80,Болохина Екатерина Андреевна,194,11д,3,Болохина_ЕА,2MV1NWu1
81,Чукалова Дарья Валерьевна,20,10г,4,Чукалова_ДВ,LuqwQPVh
82,Беловолов Степан Петрович,222,9д,2,Беловолов_СП,APdEzmvc
83,Зудейкина Вероника Ивановна,166,8и,3,Зудейкина_ВИ,iaL1ZVAJ
84,Макунова Мария Борисовна,47,9в,5,Макунова_МБ,hzMDCRyY
85,Верзанский Геннадий Андреевич,497,7д,5,Верзанский_ГА,M8iuPcSR
86,Алтубин Ярослав Леонидович,414,10г,5,Алтубин_ЯЛ,xuLSNVlO
87,Аузин Игорь Алексиевич,435,8х,5,Аузин_ИА,gnC4kJSn
88,Калыгин Степан Тимофеевич,353,8и,2,Калыгин_СТ,hhHgXn5a
89,Дурныгина Полина Игоревна,72,8и,2,Дурныгина_ПИ,K4YNtO9p
90,Антюфеева Александра Вадимовна,347,8и,2,Антюфеева_АВ,2MKaoHb3
91,Лощинский Борис Романович,210,10б,3,Лощинский_БР,gt8aOEVJ
92,Ходорков Евгений Виталиевич,344,9г,5,Ходорков_ЕВ,wfDXVvrn
93,Кафорин Федор Данилович,427,10д,3,Кафорин_ФД,E9vQw2OV
94,Косынская Алиса Дмитриевна,40,9в,3,Косынская_АД,ryYEL3Mc
95,Беремцев Артём Антонович,434,11т,2,Беремцев_АА,uEnKhgW8
96,Влянская Мария Андреевна,490,7т,4,Влянская_МА,3pPfzSw4
97,Мыгеева Лиза Василевна,280,8в,5,Мыгеева_ЛВ,9W05MJTd
98,Акутникова Мария Алексеевна,173,11в,2,Акутникова_МА,KGLqEiaF
99,Карябкин Константин Максимович,89,7и,2,Карябкин_КМ,BzUoGLS6
100,Прилепина Яна Максимовна,30,10в,5,Прилепина_ЯМ,KwshC6fI
101,Ведищев Никита Георгиевич,365,7и,5,Ведищев_НГ,DSu0Yzrh
102,Самчева Вероника Борисовна,287,10г,3,Самчева_ВБ,9ujbIPfx
103,Пирцхалова Карина Леонидовна,452,10г,5,Пирцхалова_КЛ,Gi5g5e3q
104,Павлочев Денис Борисович,432,11д,5,Павлочев_ДБ,tAr9Z0kd
105,Арашкова Екатерина Евгеньевна,356,8х,None,Арашкова_ЕЕ,9H2hXSew
106,Байсарова Людмила Василевна,215,11и,2,Байсарова_ЛВ,YaS2XhRf
107,Кудекина Зинаида Игоревна,250,10и,3,Кудекина_ЗИ,LxXUlX9u
108,Дерналов Виталий Викторович,1,9г,4,Дерналов_ВВ,771Al6zP
109,Сазинова Галина Романовна,61,9и,3,Сазинова_ГР,gdq2Dr8b
110,Остаченова Марина Эдуардовна,229,9т,5,Остаченова_МЭ,iwROUs6o
111,Битюкова Яна Егоровна,488,9и,4,Битюкова_ЯЕ,Er2hulhI
112,Иваницкий Константин Борисович,232,8д,5,Иваницкий_КБ,4f60w2Xq
113,Белянский Владислав Игоревич,74,11б,5,Белянский_ВИ,heuybLpd
114,Баранкин Артём Алексеевич,382,9т,2,Баранкин_АА,dHux924v
115,Шкабанова Софья Вадимовна,499,9х,4,Шкабанова_СВ,Y3vhk4wu
116,Полозлов Денис Адамович,155,8т,3,Полозлов_ДА,SLZUVppb
117,Жунина Светлана Михайловна,162,8в,3,Жунина_СМ,ihlYkvIU
118,Пантыкин Борис Игоревич,245,9х,2,Пантыкин_БИ,ImIVYZlx
119,Доутова Марина Богдановна,189,11х,2,Доутова_МБ,jekqsz7a
120,Трещалова Яна Андреевна,330,8б,3,Трещалова_ЯА,iY1BHhGA
121,Ивашечкин Александр Данилович,390,10т,4,Ивашечкин_АД,MnA8QrVr
122,Мазьянова Инна Богдановна,416,11в,4,Мазьянова_ИБ,JSYolVLu
123,Корогев Николай Евгеньевич,184,8б,5,Корогев_НЕ,HscolOMM
124,Заидова Галина Максимовна,88,9т,4,Заидова_ГМ,70MpUi9k
125,Рамхин Кирилл Алексиевич,459,9х,4,Рамхин_КА,XtSnTLrz
126,Кизбабаев Эдуард Фёдорович,415,11т,2,Кизбабаев_ЭФ,8pZRDZva
127,Соурчаков Ярослав Валериевич,268,8б,2,Соурчаков_ЯВ,ikjWWaQ3
128,Мотяшева Алена Михайловна,404,7т,2,Мотяшева_АМ,NNbPalqo
129,Горшкова Наталия Яковлевна,340,11а,2,Горшкова_НЯ,0LEMUrmb
130,Зябрицкий Игорь Виталиевич,332,7а,5,Зябрицкий_ИВ,h1YflaVm
131,Шельдяев Игорь Юриевич,97,7д,5,Шельдяев_ИЮ,vDASTBOb
132,Шмелькин Максим Викторович,483,9т,5,Шмелькин_МВ,KbgNhqya
133,Жалкин Алексей Алексеевич,43,7а,3,Жалкин_АА,V1JfJ4Yz
134,Худасов Денис Максимович,70,10д,2,Худасов_ДМ,MO7GVh9o
135,Швичкова Наталья Эдуардовна,398,7г,4,Швичкова_НЭ,v3hKWXYb
136,Едская Жанна Валерьевна,436,11в,4,Едская_ЖВ,PlZuRuQi
137,Поморзина Полина Евгеньевна,122,7д,4,Поморзина_ПЕ,BKhG5zGz
138,Будачева Кира Олеговна,55,11х,4,Будачева_КО,ycYwajAT
139,Молкаев Василий Валериевич,216,8д,2,Молкаев_ВВ,PcZ0V2Wz
140,Яцынин Константин Тимофеевич,285,7г,2,Яцынин_КТ,rmpGM7IH
141,Маховиков Василий Петрович,391,7х,4,Маховиков_ВП,tpr10vIu
142,Шаметова Евгения Вадимовна,463,7а,2,Шаметова_ЕВ,OUvSlBmJ
143,Законнова Жанна Евгеньевна,442,11и,None,Законнова_ЖЕ,peH3rRcX
144,Перчихин Аркадий Тимофеевич,164,10т,3,Перчихин_АТ,nikHL7yK
145,Бурдасова Ксения Игоревна,203,9а,3,Бурдасова_КИ,yHk5i8Cs
146,Киссин Степан Иванович,251,7х,5,Киссин_СИ,GlbFZduV
147,Вапилина Мария Егоровна,77,7д,2,Вапилина_МЕ,SLdfLrNw
148,Сигутина Дарья Федоровна,458,7б,2,Сигутина_ДФ,c2JOovdu
149,Сошьяков Альберт Фёдорович,17,7т,4,Сошьяков_АФ,QSm6sO7h
150,Лугахина Клара Вадимовна,419,8в,4,Лугахина_КВ,hYJYgu24
151,Логецкий Анатолий Виталиевич,372,11б,4,Логецкий_АВ,LV8ru6pm
152,Ковайкова Юлия Егоровна,75,10г,2,Ковайкова_ЮЕ,CUDDuAgd
153,Вермутский Валерий Петрович,447,9и,5,Вермутский_ВП,ZPy4KPUK
154,Россомахов Олег Юриевич,56,8в,2,Россомахов_ОЮ,y4D9sowQ
155,Циплакова Екатерина Егоровна,471,9б,5,Циплакова_ЕЕ,BEvvn36O
156,Квятцева Алла Никитична,138,11в,2,Квятцева_АН,A9YZufmZ
157,Выхухолева Лариса Василевна,384,8б,5,Выхухолева_ЛВ,sxvShWBw
158,Целохов Андрей Вадимович,433,8и,5,Целохов_АВ,LgfqdlY4
159,Бендин Иван Яковлевич,71,8и,4,Бендин_ИЯ,rlM9Xpkk
160,Лазученков Василий Алексеевич,381,7х,2,Лазученков_ВА,5ZSki5cF
161,Скоропухов Михаил Василиевич,69,10и,3,Скоропухов_МВ,XIb5aycg
162,Мухонкин Тарас Романович,126,9и,4,Мухонкин_ТР,Uaq7ACZh
163,Камерцев Владимир Кириллович,303,7а,3,Камерцев_ВК,LErbI6P5
164,Сандрыкина Анна Олеговна,324,10т,2,Сандрыкина_АО,nNovQupb
165,Недбайлов Алексей Денисович,15,7т,2,Недбайлов_АД,0BIaNsuV
166,Серпков Ярослав Георгиевич,380,10б,4,Серпков_ЯГ,JZHBZQoX
167,Хатшуклов Аркадий Николаевич,42,11т,4,Хатшуклов_АН,9cymiTIJ
168,Литвалиева Алиса Егоровна,10,11и,3,Литвалиева_АЕ,e32o1rc9
169,Енесина Лиза Валерьевна,293,9б,5,Енесина_ЛВ,wnf6UKrl
170,Пикальков Эдуард Алексиевич,21,8д,5,Пикальков_ЭА,8mHgDDN4
171,Сачинский Валентин Кириллович,125,10т,2,Сачинский_ВК,XDDlVw6b
172,Тарзанова Евгения Аркадьевна,96,9д,2,Тарзанова_ЕА,Kk27mJvl
173,Лапундин Юрий Игоревич,267,8и,5,Лапундин_ЮИ,oRO4VYFE
174,Личева Лиза Михайловна,453,9б,3,Личева_ЛМ,0Syt4VLF
175,Смароверов Яков Борисович,131,11в,4,Смароверов_ЯБ,dyWNwUz2
176,Вереина Алла Василевна,295,10и,3,Вереина_АВ,h7LAwSKQ
177,Погиблева Дарья Леонидовна,283,9в,5,Погиблева_ДЛ,jPIYG6m2
178,Байнова Анастасия Вадимовна,363,7б,3,Байнова_АВ,vZbJisNy
179,Шиловский Вячеслав Максимович,438,9и,4,Шиловский_ВМ,6waeqWEH
180,Сыждиков Пётр Василиевич,494,11х,5,Сыждиков_ПВ,EySJXcdY
181,Каценова Алёна Эдуардовна,165,11т,2,Каценова_АЭ,FLvtpkmv
182,Мужицких Ева Олеговна,348,8х,3,Мужицких_ЕО,jaCYlHQ5
183,Плеснецов Степан Юрьевич,22,10а,2,Плеснецов_СЮ,SEh60WDH
184,Игумнова Алёна Сергеевна,114,9д,4,Игумнова_АС,wJlonOVU
185,Хадаров Владимир Валериевич,278,11т,5,Хадаров_ВВ,C3YcwTvu
186,Ступакова Кира Ивановна,421,8и,3,Ступакова_КИ,bcJxKxUr
187,Шоленинов Федор Максимович,286,11т,4,Шоленинов_ФМ,nNKASFqu
188,Гундаров Руслан Николаевич,158,9д,4,Гундаров_РН,dBJ9weGz
189,Гречишева Марина Андреевна,464,7д,2,Гречишева_МА,74oSWhqG
190,Утилова Алена Андреевна,253,11д,3,Утилова_АА,NVE4jbNs
191,Роткичева Алиса Максимовна,410,10а,4,Роткичева_АМ,W3zvHU2X
192,Колтышева Марина Вадимовна,87,11г,4,Колтышева_МВ,2QNaSKZI
193,Гурычева Лариса Валерьевна,489,9б,2,Гурычева_ЛВ,pwJZJiTi
194,Горцева Кристина Никитична,246,8и,4,Горцева_КН,JoWryuog
195,Кутурин Геннадий Денисович,197,9в,2,Кутурин_ГД,YVTxfcAx
196,Стефанков Яков Евгеньевич,318,10г,3,Стефанков_ЯЕ,NPgZQUsv
197,Множина Людмила Василевна,90,8б,2,Множина_ЛВ,gwnhRtgb
198,Семисалов Георгий Иванович,316,9в,3,Семисалов_ГИ,Mtc2nrzX
199,Рогалов Альберт Валериевич,327,9б,2,Рогалов_АВ,pVcRweBp
200,Черетаева Анастасия Олеговна,341,9б,2,Черетаева_АО,u7Qdp080
201,Радоминова Любовь Игоревна,25,9и,5,Радоминова_ЛИ,LkZqGwBz
202,Шувырина Лиза Андреевна,395,9а,5,Шувырина_ЛА,VEecshIN
203,Калиженков Семён Алексеевич,401,11а,4,Калиженков_СА,TPCkwB2E
204,Старокашин Константин Петрович,309,10а,3,Старокашин_КП,WOGZ1v3B
205,Малтоцов Аркадий Яковлевич,218,8а,3,Малтоцов_АЯ,ybn0fQt0
206,Кузеванова Ева Егоровна,116,7д,2,Кузеванова_ЕЕ,18PQ7GIT
207,Нурулина Алёна Егоровна,284,9х,2,Нурулина_АЕ,Vl70URch
208,Лератов Герасим Сергеевич,374,10а,4,Лератов_ГС,GM1KnvKt
209,Людин Руслан Аркадиевич,498,7и,3,Людин_РА,vsQ22u9j
210,Пурин Виктор Данилович,154,8и,5,Пурин_ВД,WL6M8Hpq
211,Лютов Виктор Юрьевич,288,11г,2,Лютов_ВЮ,uy8gOR4Z
212,Марюшкина Яна Федоровна,345,10д,5,Марюшкина_ЯФ,TZ9oSDcy
213,Томилова Кристина Михайловна,492,11б,3,Томилова_КМ,CfUxe8Bh
214,Дистерев Валерий Валериевич,24,7г,3,Дистерев_ВВ,4oO2QhIN
215,Дочкин Геннадий Алексиевич,52,11и,5,Дочкин_ГА,qspUx4D5
216,Иняхин Руслан Сергеевич,234,7и,5,Иняхин_РС,4g9k913l
217,Знайкова Раиса Егоровна,148,11х,3,Знайкова_РЕ,3fSm0Hdr
218,Кашавцев Аркадий Леонидович,58,7а,4,Кашавцев_АЛ,K56KC4uX
219,Пятернина Кристина Андреевна,445,7и,2,Пятернина_КА,cSsYF8rX
220,Гусеева Карина Викторовна,263,9и,2,Гусеева_КВ,4xSCtFc4
221,Кастева Яна Сергеевна,108,7и,2,Кастева_ЯС,yqoVtYcR
222,Гришанин Тарас Павлович,113,10т,2,Гришанин_ТП,Fhyx7MyM
223,Грамоткин Илья Викторович,195,8д,5,Грамоткин_ИВ,mpG00oEq
224,Мелисин Геннадий Василиевич,465,10г,2,Мелисин_ГВ,2JLNSvtc
225,Цинина Светлана Яковлевна,105,11г,5,Цинина_СЯ,mG7cFRFj
226,Петов Георгий Адамович,57,9а,2,Петов_ГА,HgL1jQ6d
227,Реева Валентина Максимовна,146,11и,5,Реева_ВМ,OzxNiEe9
228,Слесивых Мария Аркадьевна,35,7и,5,Слесивых_МА,KzlXDYQ5
229,Афтаева Полина Ивановна,193,10д,5,Афтаева_ПИ,pnNW4hzM
230,Кривицкий Валентин Виталиевич,208,8х,5,Кривицкий_ВВ,iFLQ64Sz
231,Чубатов Константин Леонидович,279,11а,4,Чубатов_КЛ,JQz1DnoS
232,Партенков Геннадий Павлович,418,8х,3,Партенков_ГП,InKrERPK
233,Черушев Григорий Борисович,84,7г,4,Черушев_ГБ,PgusdsoI
234,Тютекин Георгий Тимофеевич,262,7а,2,Тютекин_ГТ,WEUar3Xb
235,Янкевский Вячеслав Адамович,167,11г,4,Янкевский_ВА,mPTieKiB
236,Сухручкина Клавдия Аркадьевна,177,7в,4,Сухручкина_КА,xU9UFM3c
237,Конофалова Клара Петровна,95,11д,5,Конофалова_КП,60KiNmLA
238,Лигасов Михаил Павлович,491,11г,4,Лигасов_МП,4TUYa49u
239,Писарьков Альберт Игоревич,313,8в,4,Писарьков_АИ,aIKa0wHK
240,Варов Кирилл Иванович,28,8а,5,Варов_КИ,4KDBmqSD
241,Пурынов Евгений Петрович,244,9и,3,Пурынов_ЕП,PFgd45gx
242,Супрутская Вероника Викторовна,187,9а,2,Супрутская_ВВ,EFdqBWgG
243,Скроцкая Алина Федоровна,127,8г,3,Скроцкая_АФ,D25Roapb
244,Барадулин Вадим Юрьевич,281,11х,3,Барадулин_ВЮ,BYIt0D5Y
245,Точилин Дмитрий Фёдорович,476,8а,2,Точилин_ДФ,1MomK8vC
246,Бикмуллин Руслан Валериевич,333,11т,2,Бикмуллин_РВ,8rqCb448
247,Серпичев Василий Алексиевич,394,10х,5,Серпичев_ВА,NHxxxUSM
248,Вострышев Яков Аркадиевич,343,8г,5,Вострышев_ЯА,bfeAUVF9
249,Грушчева София Евгеньевна,480,11в,None,Грушчева_СЕ,Htzpy7J9
250,Кулапов Александр Юрьевич,109,9б,5,Кулапов_АЮ,QRtTlOBg
251,Чибисенков Владислав Фёдорович,375,8х,3,Чибисенков_ВФ,S8TXjMnR
252,Утилов Роман Василиевич,254,9х,2,Утилов_РВ,m7XN9yNf
253,Татаурова Галина Федоровна,145,10т,4,Татаурова_ГФ,5nCfxdmv
254,Визавитина Наталия Леонидовна,101,10г,2,Визавитина_НЛ,Np5z4kTE
255,Мягченков Артём Денисович,115,7б,4,Мягченков_АД,dKb1Odmx
256,Брикова Инна Богдановна,256,9б,4,Брикова_ИБ,7flxp7hA
257,Наторкин Валентин Данилович,319,7и,2,Наторкин_ВД,pGzG3siV
258,Эштрекова Софья Алексеевна,76,9в,3,Эштрекова_СА,0SoClAsX
259,Кутаманова Кира Андреевна,182,10т,2,Кутаманова_КА,H9ZhlyJc
260,Кыштымова Евгения Эдуардовна,255,8в,5,Кыштымова_ЕЭ,HOZOv4kn
261,Ккнязева Клавдия Дмитриевна,34,7б,5,Ккнязева_КД,IBtzW7An
262,Глаголина Алиса Никитична,249,9д,2,Глаголина_АН,n2GXdxp3
263,Рисина Раиса Валерьевна,451,10а,4,Рисина_РВ,lg8BEHa0
264,Ребров Алексей Георгиевич,289,8и,3,Ребров_АГ,TNVM5pXV
265,Вырысалова Александра Евгеньевна,39,11и,2,Вырысалова_АЕ,mYtdA8n8
266,Гомольский Владимир Юриевич,314,11х,5,Гомольский_ВЮ,DISuSj7t
267,Швинова Марина Федоровна,271,8г,5,Швинова_МФ,tAEaAL5h
268,Рудковская Инна Дмитриевна,6,7т,3,Рудковская_ИД,ZVQBTEqz
269,Решеткина Дарья Василевна,408,10и,3,Решеткина_ДВ,wUvgosN5
270,Евстихеев Игорь Василиевич,422,10х,5,Евстихеев_ИВ,y9mWF9a1
271,Лазарина Алёна Федоровна,161,8б,3,Лазарина_АФ,5AIXcqQN
272,Гляченков Григорий Николаевич,431,10а,5,Гляченков_ГН,OTkYDK7M
273,Чардынцева Алина Вадимовна,135,10д,3,Чардынцева_АВ,43wS9aic
274,Скаредов Яков Иванович,337,9т,5,Скаредов_ЯИ,WUDjUn83
275,Юрицкий Эдуард Денисович,192,7д,3,Юрицкий_ЭД,ncLRo1fe
276,Кравчина Светлана Аркадьевна,413,11г,5,Кравчина_СА,lmDfm7bu
277,Чмареткова Полина Вадимовна,449,10а,2,Чмареткова_ПВ,ppsbx5sQ
278,Углова Галина Романовна,260,9г,3,Углова_ГР,NVuFEvvw
279,Згуровская Виктория Андреевна,220,9т,4,Згуровская_ВА,sN9spkUT
280,Секерский Станислав Сергеевич,235,10а,4,Секерский_СС,PpMGrWXl
281,Жевайкин Евгений Адамович,86,11г,3,Жевайкин_ЕА,uiFuaG5O
282,Коточигов Семён Игоревич,26,9д,5,Коточигов_СИ,wVl9r9nu
283,Калонин Альберт Денисович,297,8б,2,Калонин_АД,wEoJrCw7
284,Валягин Григорий Антонович,94,10в,4,Валягин_ГА,w1E7bggr
285,Коцева Кристина Николаевна,412,9г,3,Коцева_КН,0XlI8nbU
286,Голина Кристина Максимовна,3,7х,3,Голина_КМ,PgcMXt7L
287,Батрамеев Анатолий Романович,354,9х,3,Батрамеев_АР,xmNOQH82
288,Чикмарев Валентин Валериевич,306,9и,5,Чикмарев_ВВ,LcfCf8v2
289,Киницына Валерия Олеговна,202,7х,4,Киницына_ВО,YGeEQCRc
290,Числин Юрий Денисович,121,7в,2,Числин_ЮД,CfkEaY37
291,Стебунова Юлия Романовна,358,9т,3,Стебунова_ЮР,oMXksp89
292,Кацов Павел Павлович,236,10г,5,Кацов_ПП,YsI1QHLH
293,Гоцев Тарас Викторович,41,8в,3,Гоцев_ТВ,SwB101r3
294,Мотовицкий Роман Аркадиевич,31,11и,5,Мотовицкий_РА,sd43Cz4Z
295,Чурзина Клара Егоровна,308,10б,3,Чурзина_КЕ,FjF24jmc
296,Щепалкина Валерия Сергеевна,134,9б,4,Щепалкина_ВС,JCNBL0ro
297,Утимишев Ярослав Игоревич,239,11а,3,Утимишев_ЯИ,1Lf2aJfa
298,Алуханов Кирилл Фёдорович,298,7т,2,Алуханов_КФ,FLm97Cvc
299,Полунеев Валентин Валериевич,307,8и,2,Полунеев_ВВ,NiNo3qOH
300,Крупенова Наталия Андреевна,209,7в,5,Крупенова_НА,OiAQJLRU
301,Корнюшин Илья Юрьевич,44,10т,3,Корнюшин_ИЮ,AttAoC8p
302,Паушева Виолетта Никитична,310,8г,4,Паушева_ВН,lgb8tLq1
303,Берзин Герасим Антонович,349,11т,5,Берзин_ГА,2XXsfa1i
304,Шулунова Алла Алексеевна,54,7д,4,Шулунова_АА,MjMTLJjR
305,Трепашова София Яковлевна,399,11а,2,Трепашова_СЯ,v7MXrj8I
306,Чумейкин Константин Антонович,8,8б,5,Чумейкин_КА,hxisIPGz
307,Польшиков Денис Игоревич,495,9и,2,Польшиков_ДИ,NXlqwQmk
308,Медоусова Жанна Романовна,252,7б,2,Медоусова_ЖР,Of0CF9QN
309,Акуратова Клавдия Андреевна,92,9г,5,Акуратова_КА,6nO2wIzU
310,Курмеева Елизавета Валерьевна,486,8а,5,Курмеева_ЕВ,4a6Qhequ
311,Бадов Александр Аркадиевич,217,10г,3,Бадов_АА,chP9i6HI
312,Бакушин Эдуард Адамович,265,7б,5,Бакушин_ЭА,EvI5N4FE
313,Чебина Инна Сергеевна,273,10т,2,Чебина_ИС,zFngp1GU
314,Подледнова Наталья Ивановна,112,11и,3,Подледнова_НИ,EXzscPJU
315,Садгеева Лиза Евгеньевна,460,11г,3,Садгеева_ЛЕ,kkmdfKDJ
316,Акушин Борис Павлович,493,9т,2,Акушин_БП,NjkUxG0h
317,Аришев Руслан Кириллович,379,10т,3,Аришев_РК,Y3WSqvtg
318,Гуслова Кристина Олеговна,389,9в,2,Гуслова_КО,iWdAsBJL
319,Глоточкина Оксана Аркадьевна,370,9и,5,Глоточкина_ОА,LLEGQ6n0
320,Шапина Маргарита Романовна,163,8б,5,Шапина_МР,pTmBWmNA
321,Дурылин Георгий Валериевич,261,11т,4,Дурылин_ГВ,hQM4QAj5
322,Болкисева Анна Викторовна,248,7х,4,Болкисева_АВ,QrYmK1PO
