id,Name,titleProject_id,class,score
721691334,Ревцев Василий Павлович,360,9х,5
459239906,Старокожев Артём Юрьевич,46,8д,3
374537303,Светошев Максим Михаилович,321,10х,2
336339953,Старынина Кристина Федоровна,266,9д,3
156564027,Востров Дмитрий Денисович,282,9г,3
954539973,Бураханова Анастасия Леонидовна,16,8г,2
516259625,Понизов Виктор Кириллович,214,11и,5
260706229,Суздалев Валерий Алексеевич,66,11т,5
739042395,Колендин Дмитрий Алексеевич,153,10в,4
25205564,Сулькова Екатерина Андреевна,325,8и,4
308947278,Аржевитова Надежда Федоровна,242,10в,2
920682311,Крассов Валерий Олегович,201,8х,5
91518692,Сонураева Инна Андреевна,450,9т,3
78515549,Пашин Роман Вадимович,204,10д,2
318243734,Фичкина Евгения Федоровна,29,11д,3
769274539,Свилин Олег Виталиевич,123,8в,2
733311140,Рогоцкий Андрей Адамович,142,9в,2
3321668,Ахантьев Игорь Валериевич,80,10д,5
609604553,Сочиникова Ксения Кирилловна,100,10д,2
974422966,Остюков Артур Романович,329,11и,3
854550248,Брюкина Оксана Викторовна,98,8в,5
956522279,Кузовенков Игорь Юрьевич,322,9г,None
482031505,Калухов Тарас Иванович,207,11а,3
366564524,Батыров Пётр Виталиевич,227,7и,3
408769052,Озрина Катерина Валерьевна,147,10а,4
305505989,Декалова Полина Леонидовна,470,11д,5
486549289,Лосицкий Владимир Кириллович,369,9т,5
621888073,Магнусов Пётр Максимович,437,7и,5
530546085,Лавренков Михаил Василиевич,188,9б,2
817921885,Шушкалова Вероника Алексеевна,411,8т,5
158387356,Бороданова Маргарита Дмитриевна,118,7г,5
916601717,Циркина Виолетта Федоровна,231,9г,2
188649754,Болохина Екатерина Андреевна,194,11д,3
36262519,Чукалова Дарья Валерьевна,20,10г,4
6579061,Беловолов Степан Петрович,222,9д,2
554513784,Зудейкина Вероника Ивановна,166,8и,3
770525036,Макунова Мария Борисовна,47,9в,5
92836519,Верзанский Геннадий Андреевич,497,7д,5
604961907,Алтубин Ярослав Леонидович,414,10г,5
733751246,Аузин Игорь Алексиевич,435,8х,5
330402261,Калыгин Степан Тимофеевич,353,8и,2
952666295,Дурныгина Полина Игоревна,72,8и,2
111240956,Антюфеева Александра Вадимовна,347,8и,2
359144081,Лощинский Борис Романович,210,10б,3
64150013,Ходорков Евгений Виталиевич,344,9г,5
560217693,Кафорин Федор Данилович,427,10д,3
26702377,Косынская Алиса Дмитриевна,40,9в,3
983919581,Беремцев Артём Антонович,434,11т,2
865388092,Влянская Мария Андреевна,490,7т,4
416331700,Мыгеева Лиза Василевна,280,8в,5
156103976,Акутникова Мария Алексеевна,173,11в,2
665348597,Карябкин Константин Максимович,89,7и,2
260604562,Прилепина Яна Максимовна,30,10в,5
283008148,Ведищев Никита Георгиевич,365,7и,5
334257600,Самчева Вероника Борисовна,287,10г,3
884202020,Пирцхалова Карина Леонидовна,452,10г,5
541113109,Павлочев Денис Борисович,432,11д,5
977141055,Арашкова Екатерина Евгеньевна,356,8х,None
202988531,Байсарова Людмила Василевна,215,11и,2
120464585,Кудекина Зинаида Игоревна,250,10и,3
517845236,Дерналов Виталий Викторович,1,9г,4
177716352,Сазинова Галина Романовна,61,9и,3
891698109,Остаченова Марина Эдуардовна,229,9т,5
608128039,Битюкова Яна Егоровна,488,9и,4
774344924,Иваницкий Константин Борисович,232,8д,5
668304995,Белянский Владислав Игоревич,74,11б,5
666178327,Баранкин Артём Алексеевич,382,9т,2
598923114,Шкабанова Софья Вадимовна,499,9х,4
881068906,Полозлов Денис Адамович,155,8т,3
419787658,Жунина Светлана Михайловна,162,8в,3
974755048,Пантыкин Борис Игоревич,245,9х,2
673933270,Доутова Марина Богдановна,189,11х,2
13781843,Трещалова Яна Андреевна,330,8б,3
77193656,Ивашечкин Александр Данилович,390,10т,4
310975442,Мазьянова Инна Богдановна,416,11в,4
205977696,Корогев Николай Евгеньевич,184,8б,5
181843990,Заидова Галина Максимовна,88,9т,4
612498945,Рамхин Кирилл Алексиевич,459,9х,4
203485767,Кизбабаев Эдуард Фёдорович,415,11т,2
422107781,Соурчаков Ярослав Валериевич,268,8б,2
956809432,Мотяшева Алена Михайловна,404,7т,2
295251097,Горшкова Наталия Яковлевна,340,11а,2
420132061,Зябрицкий Игорь Виталиевич,332,7а,5
732859284,Шельдяев Игорь Юриевич,97,7д,5
25326419,Шмелькин Максим Викторович,483,9т,5
449486492,Жалкин Алексей Алексеевич,43,7а,3
343429356,Худасов Денис Максимович,70,10д,2
100132578,Швичкова Наталья Эдуардовна,398,7г,4
973168740,Едская Жанна Валерьевна,436,11в,4
842913895,Поморзина Полина Евгеньевна,122,7д,4
565068792,Будачева Кира Олеговна,55,11х,4
325018390,Молкаев Василий Валериевич,216,8д,2
761407388,Яцынин Константин Тимофеевич,285,7г,2
409017295,Маховиков Василий Петрович,391,7х,4
494393800,Шаметова Евгения Вадимовна,463,7а,2
546276688,Законнова Жанна Евгеньевна,442,11и,None
976041432,Перчихин Аркадий Тимофеевич,164,10т,3
511608423,Бурдасова Ксения Игоревна,203,9а,3
973835519,Киссин Степан Иванович,251,7х,5
163170344,Вапилина Мария Егоровна,77,7д,2
896413219,Сигутина Дарья Федоровна,458,7б,2
438339910,Сошьяков Альберт Фёдорович,17,7т,4
588363510,Лугахина Клара Вадимовна,419,8в,4
684761620,Логецкий Анатолий Виталиевич,372,11б,4
165796195,Ковайкова Юлия Егоровна,75,10г,2
880882367,Вермутский Валерий Петрович,447,9и,5
726447259,Россомахов Олег Юриевич,56,8в,2
241129172,Циплакова Екатерина Егоровна,471,9б,5
12191274,Квятцева Алла Никитична,138,11в,2
574459845,Выхухолева Лариса Василевна,384,8б,5
560251592,Целохов Андрей Вадимович,433,8и,5
785582954,Бендин Иван Яковлевич,71,8и,4
611977111,Лазученков Василий Алексеевич,381,7х,2
374863541,Скоропухов Михаил Василиевич,69,10и,3
220344342,Мухонкин Тарас Романович,126,9и,4
520743467,Камерцев Владимир Кириллович,303,7а,3
66080448,Сандрыкина Анна Олеговна,324,10т,2
778515243,Недбайлов Алексей Денисович,15,7т,2
474445862,Серпков Ярослав Георгиевич,380,10б,4
45991932,Хатшуклов Аркадий Николаевич,42,11т,4
167358642,Литвалиева Алиса Егоровна,10,11и,3
576676971,Енесина Лиза Валерьевна,293,9б,5
173701505,Пикальков Эдуард Алексиевич,21,8д,5
696842286,Сачинский Валентин Кириллович,125,10т,2
281784162,Тарзанова Евгения Аркадьевна,96,9д,2
893646202,Лапундин Юрий Игоревич,267,8и,5
477250786,Личева Лиза Михайловна,453,9б,3
165832945,Смароверов Яков Борисович,131,11в,4
283846700,Вереина Алла Василевна,295,10и,3
301875279,Погиблева Дарья Леонидовна,283,9в,5
904977131,Байнова Анастасия Вадимовна,363,7б,3
742068439,Шиловский Вячеслав Максимович,438,9и,4
414685199,Сыждиков Пётр Василиевич,494,11х,5
282701161,Каценова Алёна Эдуардовна,165,11т,2
62473731,Мужицких Ева Олеговна,348,8х,3
45386721,Плеснецов Степан Юрьевич,22,10а,2
350922537,Игумнова Алёна Сергеевна,114,9д,4
541717239,Хадаров Владимир Валериевич,278,11т,5
470304883,Ступакова Кира Ивановна,421,8и,3
419901060,Шоленинов Федор Максимович,286,11т,4
952183844,Гундаров Руслан Николаевич,158,9д,4
482970902,Гречишева Марина Андреевна,464,7д,2
986493386,Утилова Алена Андреевна,253,11д,3
229836703,Роткичева Алиса Максимовна,410,10а,4
381196292,Колтышева Марина Вадимовна,87,11г,4
417820938,Гурычева Лариса Валерьевна,489,9б,2
3547679,Горцева Кристина Никитична,246,8и,4
900171598,Кутурин Геннадий Денисович,197,9в,2
241825508,Стефанков Яков Евгеньевич,318,10г,3
916547049,Множина Людмила Василевна,90,8б,2
173903753,Семисалов Георгий Иванович,316,9в,3
487798033,Рогалов Альберт Валериевич,327,9б,2
69666744,Черетаева Анастасия Олеговна,341,9б,2
78529345,Радоминова Любовь Игоревна,25,9и,5
563652928,Шувырина Лиза Андреевна,395,9а,5
726713282,Калиженков Семён Алексеевич,401,11а,4
330943435,Старокашин Константин Петрович,309,10а,3
654806835,Малтоцов Аркадий Яковлевич,218,8а,3
58268811,Кузеванова Ева Егоровна,116,7д,2
709763878,Нурулина Алёна Егоровна,284,9х,2
380909142,Лератов Герасим Сергеевич,374,10а,4
795541718,Людин Руслан Аркадиевич,498,7и,3
488703293,Пурин Виктор Данилович,154,8и,5
808236892,Лютов Виктор Юрьевич,288,11г,2
366754468,Марюшкина Яна Федоровна,345,10д,5
649679855,Томилова Кристина Михайловна,492,11б,3
854874982,Дистерев Валерий Валериевич,24,7г,3
911318856,Дочкин Геннадий Алексиевич,52,11и,5
257668035,Иняхин Руслан Сергеевич,234,7и,5
848188000,Знайкова Раиса Егоровна,148,11х,3
345128849,Кашавцев Аркадий Леонидович,58,7а,4
870261060,Пятернина Кристина Андреевна,445,7и,2
317277473,Гусеева Карина Викторовна,263,9и,2
16075669,Кастева Яна Сергеевна,108,7и,2
80292270,Гришанин Тарас Павлович,113,10т,2
507596292,Грамоткин Илья Викторович,195,8д,5
476859317,Мелисин Геннадий Василиевич,465,10г,2
650869036,Цинина Светлана Яковлевна,105,11г,5
540374352,Петов Георгий Адамович,57,9а,2
280225339,Реева Валентина Максимовна,146,11и,5
869827276,Слесивых Мария Аркадьевна,35,7и,5
601308761,Афтаева Полина Ивановна,193,10д,5
384456392,Кривицкий Валентин Виталиевич,208,8х,5
135363824,Чубатов Константин Леонидович,279,11а,4
493313939,Партенков Геннадий Павлович,418,8х,3
513185155,Черушев Григорий Борисович,84,7г,4
209671531,Тютекин Георгий Тимофеевич,262,7а,2
547093574,Янкевский Вячеслав Адамович,167,11г,4
855616256,Сухручкина Клавдия Аркадьевна,177,7в,4
292093914,Конофалова Клара Петровна,95,11д,5
658452458,Лигасов Михаил Павлович,491,11г,4
433904790,Писарьков Альберт Игоревич,313,8в,4
82334786,Варов Кирилл Иванович,28,8а,5
826102072,Пурынов Евгений Петрович,244,9и,3
507627869,Супрутская Вероника Викторовна,187,9а,2
933650768,Скроцкая Алина Федоровна,127,8г,3
361398695,Барадулин Вадим Юрьевич,281,11х,3
933457556,Точилин Дмитрий Фёдорович,476,8а,2
979152396,Бикмуллин Руслан Валериевич,333,11т,2
383012845,Серпичев Василий Алексиевич,394,10х,5
648312506,Вострышев Яков Аркадиевич,343,8г,5
832454894,Грушчева София Евгеньевна,480,11в,None
921622849,Кулапов Александр Юрьевич,109,9б,5
350436791,Чибисенков Владислав Фёдорович,375,8х,3
90554143,Утилов Роман Василиевич,254,9х,2
371378592,Татаурова Галина Федоровна,145,10т,4
825232667,Визавитина Наталия Леонидовна,101,10г,2
852416462,Мягченков Артём Денисович,115,7б,4
878745376,Брикова Инна Богдановна,256,9б,4
87599906,Наторкин Валентин Данилович,319,7и,2
109038498,Эштрекова Софья Алексеевна,76,9в,3
180805753,Кутаманова Кира Андреевна,182,10т,2
145545832,Кыштымова Евгения Эдуардовна,255,8в,5
379176300,Ккнязева Клавдия Дмитриевна,34,7б,5
529611209,Глаголина Алиса Никитична,249,9д,2
387694640,Рисина Раиса Валерьевна,451,10а,4
902611642,Ребров Алексей Георгиевич,289,8и,3
8944808,Вырысалова Александра Евгеньевна,39,11и,2
559585727,Гомольский Владимир Юриевич,314,11х,5
470856829,Швинова Марина Федоровна,271,8г,5
550569914,Рудковская Инна Дмитриевна,6,7т,3
945821833,Решеткина Дарья Василевна,408,10и,3
817725659,Евстихеев Игорь Василиевич,422,10х,5
366067962,Лазарина Алёна Федоровна,161,8б,3
887438652,Гляченков Григорий Николаевич,431,10а,5
57119961,Чардынцева Алина Вадимовна,135,10д,3
798624366,Скаредов Яков Иванович,337,9т,5
527526820,Юрицкий Эдуард Денисович,192,7д,3
188570053,Кравчина Светлана Аркадьевна,413,11г,5
577858510,Чмареткова Полина Вадимовна,449,10а,2
874906142,Углова Галина Романовна,260,9г,3
109401402,Згуровская Виктория Андреевна,220,9т,4
168827970,Секерский Станислав Сергеевич,235,10а,4
71471055,Жевайкин Евгений Адамович,86,11г,3
163028377,Коточигов Семён Игоревич,26,9д,5
91130563,Калонин Альберт Денисович,297,8б,2
985621259,Валягин Григорий Антонович,94,10в,4
223806487,Коцева Кристина Николаевна,412,9г,3
76872982,Голина Кристина Максимовна,3,7х,3
102120043,Батрамеев Анатолий Романович,354,9х,3
523312166,Чикмарев Валентин Валериевич,306,9и,5
390394092,Киницына Валерия Олеговна,202,7х,4
379877046,Числин Юрий Денисович,121,7в,2
258979523,Стебунова Юлия Романовна,358,9т,3
16639858,Кацов Павел Павлович,236,10г,5
501181075,Гоцев Тарас Викторович,41,8в,3
20931416,Мотовицкий Роман Аркадиевич,31,11и,5
775414436,Чурзина Клара Егоровна,308,10б,3
63179752,Щепалкина Валерия Сергеевна,134,9б,4
350135916,Утимишев Ярослав Игоревич,239,11а,3
487136964,Алуханов Кирилл Фёдорович,298,7т,2
763027628,Полунеев Валентин Валериевич,307,8и,2
488414279,Крупенова Наталия Андреевна,209,7в,5
770969891,Корнюшин Илья Юрьевич,44,10т,3
148279893,Паушева Виолетта Никитична,310,8г,4
340511587,Берзин Герасим Антонович,349,11т,5
301386034,Шулунова Алла Алексеевна,54,7д,4
625045185,Трепашова София Яковлевна,399,11а,2
258880232,Чумейкин Константин Антонович,8,8б,5
331949142,Польшиков Денис Игоревич,495,9и,2
483830430,Медоусова Жанна Романовна,252,7б,2
876053479,Акуратова Клавдия Андреевна,92,9г,5
197984698,Курмеева Елизавета Валерьевна,486,8а,5
247097136,Бадов Александр Аркадиевич,217,10г,3
957053436,Бакушин Эдуард Адамович,265,7б,5
479804581,Чебина Инна Сергеевна,273,10т,2
654618499,Подледнова Наталья Ивановна,112,11и,3
51035988,Садгеева Лиза Евгеньевна,460,11г,3
17099478,Акушин Борис Павлович,493,9т,2
552377091,Аришев Руслан Кириллович,379,10т,3
206391590,Гуслова Кристина Олеговна,389,9в,2
641558749,Глоточкина Оксана Аркадьевна,370,9и,5
12973778,Шапина Маргарита Романовна,163,8б,5
921442231,Дурылин Георгий Валериевич,261,11т,4
972732598,Болкисева Анна Викторовна,248,7х,4
549313541,Багапов Вячеслав Сергеевич,99,7д,4
828065474,Люцарева Яна Аркадьевна,376,11б,2
893278581,Боготынина София Егоровна,63,11б,5
689835564,Саюшкин Игорь Алексиевич,211,11х,5
108713966,Потешных Тамара Николаевна,468,11в,3
122620531,Незлина Жанна Василевна,426,8б,5
74506882,Федичева Вероника Кирилловна,37,7х,4
262849120,Пустынкин Вадим Антонович,388,10в,5
32285990,Аринакова Ирина Михайловна,150,8в,5
978089248,Обиралкова Мария Егоровна,294,11т,5
655052372,Аристарова Валентина Максимовна,443,11г,2
632573679,Яуров Герасим Юрьевич,38,9а,5
328221092,Духонькин Вячеслав Фёдорович,2,9в,4
297996653,Гвасков Евгений Михаилович,402,9в,5
875400678,Жабынина Галина Николаевна,185,7х,5
149192751,Шерюкова Виолетта Романовна,440,9б,4
844668133,Колокатов Пётр Евгеньевич,484,10в,3
980046657,Шайдуков Андрей Михаилович,317,9и,4
29944420,Смирнягина Дарья Игоревна,425,10в,4
885516968,Штырева Ева Олеговна,258,11и,2
721652939,Ашукин Вячеслав Михаилович,191,10т,4
854348707,Рубченкова Галина Алексеевна,190,9в,3
908149468,Зархин Иван Алексиевич,478,11и,5
823606817,Адиотов Дмитрий Павлович,156,7б,3
320616177,Тищенкова Раиса Валерьевна,79,7д,3
134266685,Лозеев Илья Петрович,205,10д,2
348881692,Кобяшов Герасим Михаилович,305,11т,2
529144847,Ронова Клавдия Валерьевна,107,7и,4
404875871,Стрижнов Алексей Евгеньевич,385,11г,3
888409379,Волынский Алексей Виталиевич,362,11т,5
147624194,Машонский Василий Данилович,23,9д,5
646205680,Буриева Зинаида Аркадьевна,104,11д,4
366972805,Борщина Алёна Ивановна,377,11а,5
486201202,Белчков Олег Иванович,275,10а,4
583263370,Остропиков Альберт Данилович,157,8г,2
310265977,Оргонова Любовь Максимовна,264,7б,4
371522471,Мальков Юрий Евгеньевич,228,7г,3
324158527,Свльхова Наталья Вадимовна,160,9т,5
931453964,Мякушков Герасим Леонидович,102,10т,3
829840095,Межуев Георгий Юриевич,355,8г,4
749860098,Чериншев Александр Сергеевич,439,8а,2
741183625,Муниров Алексей Андреевич,117,11г,3
480036893,Климухин Руслан Романович,269,10в,3
958095186,Дембская Екатерина Никитична,64,11б,4
695598625,Тюнеев Яков Фёдорович,417,10т,2
857739132,Трушитин Антон Данилович,168,9х,3
581894813,Балакишиев Роман Алексиевич,143,11х,5
320664835,Немтюрева Валерия Аркадьевна,12,10г,4
644573525,Складанова Клавдия Аркадьевна,257,9а,3
352285209,Заходина Полина Леонидовна,93,10д,4
678956954,Муринов Анатолий Борисович,171,11б,5
798811839,Гришалова Любовь Евгеньевна,301,8т,3
708269294,Ситчихин Станислав Георгиевич,247,8т,5
126486139,Просяных Георгий Василиевич,366,9в,2
34529345,Дзабиев Григорий Георгиевич,259,11д,5
515887798,Рыбаулин Григорий Алексеевич,140,11а,5
607494511,Тупиева Екатерина Ивановна,400,7д,2
945029623,Куверчева Алена Ивановна,170,10д,3
255161108,Цаблинова Виктория Богдановна,342,9г,4
667704632,Синенков Григорий Леонидович,230,9в,5
335295148,Лизункин Артур Олегович,4,11в,5
290836607,Славущева Александра Эдуардовна,81,8а,5
25012014,Шахвердов Дмитрий Антонович,132,11б,2
770205350,Рапацкая Ольга Ивановна,223,10г,3
386469893,Сторокожев Виталий Аркадиевич,159,9б,2
576754090,Половодов Кирилл Николаевич,18,8т,5
614847210,Халтанова Алена Дмитриевна,49,8б,3
452379905,Заложнев Роман Фёдорович,448,8в,4
521824041,Рыжих Кристина Аркадьевна,213,7а,4
311233581,Буров Руслан Игоревич,405,11и,5
453560085,Гачков Виталий Евгеньевич,277,9т,4
439714491,Кадилов Геннадий Борисович,225,10в,3
436941684,Гликина Алёна Эдуардовна,454,9б,3
191621646,Ичкинина Любовь Андреевна,299,8г,5
284710395,Мозшорина Кира Дмитриевна,65,8б,3
572288260,Брижеватов Константин Борисович,152,11т,2
21712446,Бучеров Тарас Викторович,429,10д,4
997846701,Мисютина Валерия Эдуардовна,368,9г,2
329375473,Льянов Федор Вадимович,328,8а,4
115177924,Щуркин Георгий Яковлевич,180,8в,4
57010535,Акулин Федор Адамович,241,10г,4
7512621,Волженкова Екатерина Ивановна,233,9д,4
187751716,Махометова София Викторовна,424,8и,3
447658029,Зызлов Геннадий Антонович,274,7в,3
485779323,Девляшова Кира Олеговна,51,11д,5
365108374,Яковкина Алена Никитична,320,9т,5
195606083,Бузулев Вадим Николаевич,331,10д,3
130932408,Ганельский Юрий Юриевич,474,9д,3
479622085,Шкапрова Ева Ивановна,371,7б,5
737605101,Чичирин Владимир Георгиевич,11,10а,4
457726618,Шилова Надежда Викторовна,124,9б,2
724993265,Коваев Руслан Михаилович,487,9т,3
623527151,Саверина Надежда Андреевна,407,11б,4
763981314,Тишанкин Олег Адамович,334,9д,3
79027931,Широпаев Валерий Сергеевич,406,9б,2
651731811,Щепанин Олег Адамович,226,7а,3
988280814,Оплетин Владислав Аркадиевич,361,10х,4
666856482,Оденова Карина Андреевна,409,8и,4
700311620,Семагин Альберт Андреевич,456,10х,4
420075142,Черданцева Анастасия Олеговна,128,8х,3
584351012,Лонцова Елизавета Эдуардовна,224,7х,3
263047528,Сарсекеева Алёна Никитична,462,11и,4
215850999,Аковецкий Антон Евгеньевич,500,8б,4
278706639,Аратский Станислав Борисович,351,9и,2
442062220,Чужриков Пётр Денисович,200,9в,3
145322903,Никитшин Алексей Кириллович,111,11и,3
527127862,Симендяев Василий Алексиевич,45,8д,4
794088388,Ошитков Максим Сергеевич,151,10г,4
575744597,Юрасов Евгений Романович,338,9и,3
859753488,Головяшин Павел Юриевич,179,7г,5
627701463,Манжурина Екатерина Сергеевна,219,7т,3
754801103,Никурашин Олег Евгеньевич,291,11х,2
967286970,Бехтерев Федор Вадимович,137,9х,3
319685059,Годлевская Катерина Дмитриевна,403,11г,3
546190877,Акиярова Алина Эдуардовна,9,11а,4
610736602,Милина Алена Петровна,359,8г,3
681322464,Воловин Борис Викторович,350,7т,2
324002659,Туморина Ксения Федоровна,133,8б,5
139685238,Желейков Вячеслав Яковлевич,199,8г,3
928884654,Шишорнина Екатерина Алексеевна,183,8т,3
809371673,Юумогулова Виолетта Игоревна,311,10х,3
282258181,Рецков Денис Денисович,85,10д,2
362230067,Химунина Елизавета Ивановна,392,7д,2
540250166,Кобрянов Александр Алексиевич,455,7т,2
293744543,Бирылов Тарас Данилович,243,11а,3
630416791,Туфатулин Ярослав Леонидович,485,8х,4
849232345,Долбишев Николай Аркадиевич,292,10б,5
261399111,Махтумова Алёна Эдуардовна,186,10б,4
653002962,Нарзаркин Алексей Романович,423,10т,2
275140896,Куранина Алена Леонидовна,196,9б,4
282360719,Ситюков Аркадий Евгеньевич,32,10в,3
707027009,Мизюрова Алиса Никитична,176,7г,4
940216927,Пандурова Алиса Дмитриевна,130,9б,2
233942806,Жилейкин Борис Тимофеевич,91,7в,2
319440120,Корпункова Виолетта Сергеевна,83,11а,3
632539333,Пашохонова Анастасия Федоровна,467,9в,4
272156926,Сузальцева Тамара Михайловна,357,8х,4
559094715,Чиличкина Светлана Яковлевна,5,8в,5
853166520,Шантыкова Карина Максимовна,198,10д,3
797994893,Недосекин Владислав Яковлевич,457,10а,4
109110795,Максимкин Федор Фёдорович,172,10г,2
106890201,Матбиюшина Виктория Игоревна,237,8д,2
538301042,Шишкунов Герасим Юрьевич,110,8т,4
538624286,Сухинин Георгий Алексиевич,475,10х,4
851595315,Бисеева Полина Романовна,48,7д,5
944838901,Жукулов Михаил Денисович,60,11г,3
3813249,Тоняев Герасим Петрович,378,9т,5
960842210,Шушенкова Алёна Олеговна,36,7и,2
719962382,Разроев Дмитрий Павлович,59,9а,2
697046932,Баззаев Анатолий Данилович,339,9д,2
314575653,Цекова Алла Олеговна,50,8д,2
497185095,Аборонова Алиса Алексеевна,444,7г,5
548065276,Ягловская Ева Олеговна,181,8в,4
765220160,Шароварова Яна Романовна,175,8а,4
453713100,Общев Яков Викторович,466,8а,4
177513584,Ойзерская Катерина Эдуардовна,120,7х,2
495494685,Прусский Ярослав Иванович,479,11б,2
598900138,Лабинов Павел Алексеевич,272,7б,5
819825936,Покровов Эдуард Павлович,312,8б,2
7769344,Мачехин Эдуард Данилович,19,7д,3
437200558,Кодорская Раиса Ивановна,27,11б,3
351945631,Кондраева Марина Ивановна,469,9д,3
82560468,Бульенков Валентин Иванович,136,10т,4
202038581,Тагакова Вероника Яковлевна,393,8т,4
897014751,Гершанова Любовь Евгеньевна,383,11т,5
477924396,Салина Алена Егоровна,73,11в,5
927954264,Фрумова Зинаида Аркадьевна,78,8а,4
674377878,Хорняков Борис Борисович,13,8г,2
981482814,Гдагазина Лиза Василевна,212,9т,5
527630839,Агаршев Ярослав Михаилович,276,9т,2
176063371,Корюшин Пётр Антонович,326,8х,2
623816443,Калаев Пётр Алексиевич,68,8а,3
800834939,Ккаталкина Виолетта Егоровна,53,7б,2
572165245,Рачнов Герасим Алексеевич,103,10а,5
707492934,Миндубаева Людмила Леонидовна,477,11и,2
391501316,Агафьева Вера Ивановна,352,11х,3
854619739,Житин Эдуард Адамович,481,9а,5
